Emp ID,Name,Year/Age,Projected Salary,Death Probability (qx),Survival Probability (px),Expected Outflow
1,Employee 1,35,11280.00,0.002290,0.997710,25.77
1,Employee 1,36,11844.00,0.002290,0.997710,27.06
1,Employee 1,37,12436.20,0.002290,0.997710,28.41
1,Employee 1,38,13058.01,0.002290,0.997710,29.83
1,Employee 1,39,13710.91,0.002290,0.997710,31.33
1,Employee 1,40,14396.46,0.003211,0.996789,46.08
1,Employee 1,41,15116.28,0.003211,0.996789,48.38
1,Employee 1,42,15872.09,0.003211,0.996789,50.80
1,Employee 1,43,16665.70,0.003211,0.996789,53.34
1,Employee 1,44,17498.98,0.003211,0.996789,56.01
1,Employee 1,45,18373.93,0.004626,0.995374,84.60
1,Employee 1,46,19292.63,0.004748,0.995252,91.17
1,Employee 1,47,20257.26,0.004748,0.995252,95.72
1,Employee 1,48,21270.12,0.004748,0.995252,100.51
1,Employee 1,49,22333.63,0.004748,0.995252,105.54
1,Employee 1,50,23450.31,0.007059,0.992941,164.37
1,Employee 1,51,24622.83,0.007059,0.992941,172.59
1,Employee 1,52,25853.97,0.007059,0.992941,181.21
1,Employee 1,53,27146.66,0.007059,0.992941,190.28
1,Employee 1,54,28504.00,0.007059,0.992941,199.79
1,Employee 1,55,29929.20,0.010286,0.989714,304.69
1,Employee 1,56,31425.66,0.010286,0.989714,319.92
1,Employee 1,57,32996.94,0.010286,0.989714,335.92
1,Employee 1,58,34646.79,0.010286,0.989714,352.71
1,Employee 1,59,36379.13,0.010286,0.989714,370.35
1,Employee 1,60,38198.08,0.000000,1.000000,0.00
2,Employee 2,23,8030.00,0.001152,0.998848,9.24
2,Employee 2,24,8431.50,0.001152,0.998848,9.70
2,Employee 2,25,8853.08,0.001413,0.998587,12.49
2,Employee 2,26,9295.73,0.001492,0.998508,13.85
2,Employee 2,27,9760.52,0.001492,0.998508,14.54
2,Employee 2,28,10248.54,0.001492,0.998508,15.27
2,Employee 2,29,10760.97,0.001492,0.998508,16.03
2,Employee 2,30,11299.02,0.001492,0.998508,16.83
2,Employee 2,31,11863.97,0.001492,0.998508,17.67
2,Employee 2,32,12457.17,0.001492,0.998508,18.56
2,Employee 2,33,13080.02,0.001492,0.998508,19.49
2,Employee 2,34,13734.03,0.001492,0.998508,20.46
2,Employee 2,35,14420.73,0.002290,0.997710,32.95
2,Employee 2,36,15141.76,0.002290,0.997710,34.60
2,Employee 2,37,15898.85,0.002290,0.997710,36.32
2,Employee 2,38,16693.79,0.002290,0.997710,38.14
2,Employee 2,39,17528.48,0.002290,0.997710,40.05
2,Employee 2,40,18404.91,0.003211,0.996789,58.91
2,Employee 2,41,19325.15,0.003211,0.996789,61.85
2,Employee 2,42,20291.41,0.003211,0.996789,64.95
2,Employee 2,43,21305.98,0.003211,0.996789,68.19
2,Employee 2,44,22371.28,0.003211,0.996789,71.60
2,Employee 2,45,23489.84,0.004626,0.995374,108.16
2,Employee 2,46,24664.34,0.004748,0.995252,116.55
2,Employee 2,47,25897.55,0.004748,0.995252,122.38
2,Employee 2,48,27192.43,0.004748,0.995252,128.50
2,Employee 2,49,28552.05,0.004748,0.995252,134.92
2,Employee 2,50,29979.65,0.007059,0.992941,210.13
2,Employee 2,51,31478.64,0.007059,0.992941,220.64
2,Employee 2,52,33052.57,0.007059,0.992941,231.67
2,Employee 2,53,34705.20,0.007059,0.992941,243.25
2,Employee 2,54,36440.46,0.007059,0.992941,255.42
2,Employee 2,55,38262.48,0.010286,0.989714,389.52
2,Employee 2,56,40175.60,0.010286,0.989714,409.00
2,Employee 2,57,42184.38,0.010286,0.989714,429.45
2,Employee 2,58,44293.60,0.010286,0.989714,450.92
2,Employee 2,59,46508.28,0.010286,0.989714,473.46
2,Employee 2,60,48833.70,0.000000,1.000000,0.00
3,Employee 3,41,2517.00,0.003211,0.996789,8.06
3,Employee 3,42,2642.85,0.003211,0.996789,8.46
3,Employee 3,43,2774.99,0.003211,0.996789,8.88
3,Employee 3,44,2913.74,0.003211,0.996789,9.33
3,Employee 3,45,3059.43,0.004626,0.995374,14.09
3,Employee 3,46,3212.40,0.004748,0.995252,15.18
3,Employee 3,47,3373.02,0.004748,0.995252,15.94
3,Employee 3,48,3541.67,0.004748,0.995252,16.74
3,Employee 3,49,3718.76,0.004748,0.995252,17.57
3,Employee 3,50,3904.69,0.007059,0.992941,27.37
3,Employee 3,51,4099.93,0.007059,0.992941,28.74
3,Employee 3,52,4304.92,0.007059,0.992941,30.17
3,Employee 3,53,4520.17,0.007059,0.992941,31.68
3,Employee 3,54,4746.18,0.007059,0.992941,33.27
3,Employee 3,55,4983.49,0.010286,0.989714,50.73
3,Employee 3,56,5232.66,0.010286,0.989714,53.27
3,Employee 3,57,5494.30,0.010286,0.989714,55.93
3,Employee 3,58,5769.01,0.010286,0.989714,58.73
3,Employee 3,59,6057.46,0.010286,0.989714,61.67
3,Employee 3,60,6360.33,0.000000,1.000000,0.00
4,Employee 4,31,11891.00,0.001492,0.998508,17.71
4,Employee 4,32,12485.55,0.001492,0.998508,18.60
4,Employee 4,33,13109.83,0.001492,0.998508,19.53
4,Employee 4,34,13765.32,0.001492,0.998508,20.51
4,Employee 4,35,14453.58,0.002290,0.997710,33.02
4,Employee 4,36,15176.26,0.002290,0.997710,34.67
4,Employee 4,37,15935.08,0.002290,0.997710,36.41
4,Employee 4,38,16731.83,0.002290,0.997710,38.23
4,Employee 4,39,17568.42,0.002290,0.997710,40.14
4,Employee 4,40,18446.84,0.003211,0.996789,59.04
4,Employee 4,41,19369.19,0.003211,0.996789,61.99
4,Employee 4,42,20337.65,0.003211,0.996789,65.09
4,Employee 4,43,21354.53,0.003211,0.996789,68.35
4,Employee 4,44,22422.25,0.003211,0.996789,71.77
4,Employee 4,45,23543.37,0.004626,0.995374,108.41
4,Employee 4,46,24720.53,0.004748,0.995252,116.82
4,Employee 4,47,25956.56,0.004748,0.995252,122.66
4,Employee 4,48,27254.39,0.004748,0.995252,128.79
4,Employee 4,49,28617.11,0.004748,0.995252,135.23
4,Employee 4,50,30047.96,0.007059,0.992941,210.61
4,Employee 4,51,31550.36,0.007059,0.992941,221.14
4,Employee 4,52,33127.88,0.007059,0.992941,232.20
4,Employee 4,53,34784.28,0.007059,0.992941,243.81
4,Employee 4,54,36523.49,0.007059,0.992941,256.00
4,Employee 4,55,38349.66,0.010286,0.989714,390.41
4,Employee 4,56,40267.15,0.010286,0.989714,409.93
4,Employee 4,57,42280.50,0.010286,0.989714,430.42
4,Employee 4,58,44394.53,0.010286,0.989714,451.95
4,Employee 4,59,46614.26,0.010286,0.989714,474.54
4,Employee 4,60,48944.97,0.000000,1.000000,0.00
5,Employee 5,44,6699.00,0.003211,0.996789,21.44
5,Employee 5,45,7033.95,0.004626,0.995374,32.39
5,Employee 5,46,7385.65,0.004748,0.995252,34.90
5,Employee 5,47,7754.93,0.004748,0.995252,36.65
5,Employee 5,48,8142.68,0.004748,0.995252,38.48
5,Employee 5,49,8549.81,0.004748,0.995252,40.40
5,Employee 5,50,8977.30,0.007059,0.992941,62.92
5,Employee 5,51,9426.17,0.007059,0.992941,66.07
5,Employee 5,52,9897.47,0.007059,0.992941,69.37
5,Employee 5,53,10392.35,0.007059,0.992941,72.84
5,Employee 5,54,10911.97,0.007059,0.992941,76.48
5,Employee 5,55,11457.56,0.010286,0.989714,116.64
5,Employee 5,56,12030.44,0.010286,0.989714,122.47
5,Employee 5,57,12631.96,0.010286,0.989714,128.60
5,Employee 5,58,13263.56,0.010286,0.989714,135.03
5,Employee 5,59,13926.74,0.010286,0.989714,141.78
5,Employee 5,60,14623.08,0.000000,1.000000,0.00
6,Employee 6,40,10115.00,0.003211,0.996789,32.37
6,Employee 6,41,10620.75,0.003211,0.996789,33.99
6,Employee 6,42,11151.79,0.003211,0.996789,35.69
6,Employee 6,43,11709.38,0.003211,0.996789,37.48
6,Employee 6,44,12294.85,0.003211,0.996789,39.35
6,Employee 6,45,12909.59,0.004626,0.995374,59.44
6,Employee 6,46,13555.07,0.004748,0.995252,64.05
6,Employee 6,47,14232.82,0.004748,0.995252,67.26
6,Employee 6,48,14944.46,0.004748,0.995252,70.62
6,Employee 6,49,15691.68,0.004748,0.995252,74.15
6,Employee 6,50,16476.27,0.007059,0.992941,115.48
6,Employee 6,51,17300.08,0.007059,0.992941,121.26
6,Employee 6,52,18165.09,0.007059,0.992941,127.32
6,Employee 6,53,19073.34,0.007059,0.992941,133.69
6,Employee 6,54,20027.01,0.007059,0.992941,140.37
6,Employee 6,55,21028.36,0.010286,0.989714,214.07
6,Employee 6,56,22079.78,0.010286,0.989714,224.78
6,Employee 6,57,23183.77,0.010286,0.989714,236.02
6,Employee 6,58,24342.95,0.010286,0.989714,247.82
6,Employee 6,59,25560.10,0.010286,0.989714,260.21
6,Employee 6,60,26838.11,0.000000,1.000000,0.00
7,Employee 7,52,3111.00,0.007059,0.992941,21.81
7,Employee 7,53,3266.55,0.007059,0.992941,22.90
7,Employee 7,54,3429.88,0.007059,0.992941,24.04
7,Employee 7,55,3601.37,0.010286,0.989714,36.66
7,Employee 7,56,3781.44,0.010286,0.989714,38.50
7,Employee 7,57,3970.51,0.010286,0.989714,40.42
7,Employee 7,58,4169.04,0.010286,0.989714,42.44
7,Employee 7,59,4377.49,0.010286,0.989714,44.56
7,Employee 7,60,4596.36,0.000000,1.000000,0.00
